timestamp,latitude,longitude,title,description
2025-10-28T09:00:00Z,37.7749,-122.4194,Golden Gate Park,Starting point of our walking tour
2025-10-28T09:15:00Z,37.7849,-122.4094,Haight-Ashbury,Historic neighborhood visit
2025-10-28T09:30:00Z,37.7949,-122.3994,Castro District,Exploring the vibrant Castro area
2025-10-28T09:45:00Z,37.8049,-122.3894,Mission District,Checking out street art and tacos
2025-10-28T10:00:00Z,37.8149,-122.3794,SOMA,South of Market business district
2025-10-28T10:15:00Z,37.8044,-122.2711,Bay Bridge,Walking towards the bridge
2025-10-28T10:30:00Z,37.7944,-122.2611,Embarcadero,Waterfront promenade
2025-10-28T10:45:00Z,37.7844,-122.2511,Ferry Building,Historic marketplace
2025-10-28T11:00:00Z,37.7744,-122.2411,Pier 39,Tourist destination with sea lions
2025-10-28T11:15:00Z,37.8055,-122.4194,Fisherman's Wharf,End of our walking tour
